地方台,#genre#
广东珠江,http://khao.xyz/daili/gdxx.php?id=zjpd
广东新闻,http://khao.xyz/daili/gdxx.php?id=xwpd
广东公共,http://khao.xyz/daili/gdxx.php?id=ggpd
广东国际,http://khao.xyz/daili/gdxx.php?id=gjpd
广东房产,http://khao.xyz/daili/gdxx.php?id=fcpd
广东科教,http://khao.xyz/daili/gdxx.php?id=kjpd
广东少儿,http://khao.xyz/daili/gdxx.php?id=tvs5
广东影视,http://khao.xyz/daili/gdxx.php?id=tvs4

央视直播,#genre#
CCTV-1,http://39.135.34.132:8080/000000001000/1000000001000021973/1.m3u8?channel-id=ystenlive
CCTV-2,http://39.135.34.132:8080/000000001000/1000000001000012442/1.m3u8?channel-id=ystenlive
CCTV-3,http://39.135.34.132:8080/000000001000/1000000001000011218/1.m3u8?channel-id=ystenlive
CCTV-4,http://39.135.34.132:8080/000000001000/1000000002000031664/1.m3u8?channel-id=ystenlive
CCTV-5,http://39.135.34.132:8080/000000001000/1000000001000004794/1.m3u8?channel-id=ystenlive
CCTV-5+,http://39.135.34.132:8080/000000001000/1000000001000020505/1.m3u8?channel-id=ystenlive
CCTV-6,http://39.135.34.132:8080/000000001000/1000000001000016466/1.m3u8?channel-id=ystenlive
CCTV-6,http://121.31.30.91:8081/ysten-business/live/cctv-6/1.m3u8
CCTV-7,http://39.135.34.132:8080/000000001000/7050628689018054317/1.m3u8?channel-id=ystenlive
CCTV-8,http://39.135.34.132:8080/000000001000/1000000001000003736/1.m3u8?channel-id=ystenlive
CCTV-9,http://39.135.34.132:8080/000000001000/1000000001000028286/1.m3u8?channel-id=ystenlive
CCTV-10,http://39.135.34.132:8080/000000001000/7019587760656900133/1.m3u8?channel-id=ystenlive
CCTV-10,http://112.17.40.145:80/PLTV/88888888/224/3221226472/1.m3u8
CCTV-11,http://39.135.34.132:8080/000000001000/1000000002000019789/1.m3u8?channel-id=ystenlive
CCTV-12,http://39.135.34.132:8080/000000001000/1000000001000001640/1.m3u8?channel-id=ystenlive
CCTV-13,http://39.135.34.132:8080/000000001000/1000000002000021303/1.m3u8?channel-id=ystenlive
CCTV-14,http://39.135.34.132:8080/000000001000/8203666801302077036/1.m3u8?channel-id=ystenlive
CCTV-15,http://39.135.34.132:8080/000000001000/1000000002000008163/1.m3u8?channel-id=ystenlive
CCTV-17,http://39.135.34.132:8080/000000001000/1000000005000056836/1.m3u8?channel-id=ystenlive
CCTV1,http://39.135.34.142:8080/000000001000/1000000001000021973/1.m3u8?
CCTV1,http://117.169.120.98:8080/ysten-businessmobile/live/hdcctv01/1.m3u8
CCTV2,http://39.135.34.142:8080/000000001000/1000000001000012442/1.m3u8?
CCTV3,http://39.135.34.142:8080/000000001000/1000000001000011218/1.m3u8?
CCTV4,http://39.135.34.142:8080/000000001000/1000000002000031664/1.m3u8?
CCTV5,http://39.135.34.142:8080/000000001000/1000000001000004794/1.m3u8?
CCTV5+,http://39.135.34.142:8080/000000001000/1000000001000020505/1.m3u8?
CCTV6,http://39.135.34.142:8080/000000001000/1000000001000016466/1.m3u8?
CCTV7,http://39.135.34.142:8080/000000001000/1000000001000017218/1.m3u8?
CCTV8,http://39.135.34.142:8080/000000001000/1000000001000003736/1.m3u8?
CCTV9,http://39.135.34.142:8080/000000001000/1000000001000014583/1.m3u8?
CCTV10,http://39.135.34.142:8080/000000001000/1000000001000023734/1.m3u8?
CCTV11,http://39.135.34.142:8080/000000001000/1000000002000019789/1.m3u8?
CCTV12,http://39.135.34.142:8080/000000001000/1000000001000032494/1.m3u8?
CCTV13,http://39.135.34.142:8080/000000001000/1000000002000021303/1.m3u8?
CCTV14少儿,http://39.135.34.142:8080/000000001000/1000000001000008170/1.m3u8?
CCTV15音乐,http://39.135.34.142:8080/000000001000/1000000002000008163/1.m3u8?
CCTV17,http://39.135.34.142:8080/000000001000/1000000005000056836/1.m3u8?
港澳直播,#genre#
凤凰中文,http://112.50.243.8/PLTV/88888888/224/3221225900/1.m3u8
凤凰中文,http://qlive.fengshows.cn/PCC.flv
凤凰中文,http://193.202.44.14/xg/wy.php?id=2&xl=1
凤凰资讯,http://112.50.243.8/PLTV/88888888/224/3221225901/1.m3u8
凤凰资讯,http://qlive.fengshows.cn/PIN.flv
凤凰资讯,http://qlive.fengshows.cn/live720p/PIN.flv
凤凰香港,http://qlive.fengshows.cn/PHK.flv
凤凰香港,http://qlive.fengshows.cn/live720p/PHK.flv
